Prime,Target,Direction,Presented,Target_Type
Lion,Stripes,M,Y,Word
Beach,Box,M,Y,Word
War,Quiet,M,Y,Word
Birthday,Pie,M,Y,Word
Rough,Silk,M,Y,Word
Tree,Syrup,M,Y,Word
Bat,Bounce,M,Y,Word
Litter,Trash,F,Y,Word
Wage,Money,F,Y,Word
Scalp,Head,F,Y,Word
Mule,Donkey,F,Y,Word
Root,Plant,F,Y,Word
Swan,Bird,F,Y,Word
Word,Sentence,F,Y,Word
Mirror,Maroon                   ,U,Y,Word
Stretch,Cloth,U,Y,Word
Give,Steak,U,Y,Word
Crackle,Election,U,Y,Word
Vehicle,Charm,U,Y,Word
Meat,Keys,U,Y,Word
Maze,Phone,U,Y,Word
Shell,Shake,U,Y,Word
Lion,Satser,M,Y,Non-Word
Beach,Schook,M,Y,Non-Word
War,Pands,M,Y,Non-Word
Birthday,Nunge,M,Y,Non-Word
Rough,Beiraty,M,Y,Non-Word
Tree,Houdy,M,Y,Non-Word
Bat,Roap,M,Y,Non-Word
Circle,Rale,M,Y,Non-Word
Litter,Chon,F,Y,Non-Word
Wage,Spiset,F,Y,Non-Word
Scalp,Artigs,F,Y,Non-Word
Mule,Shurry,F,Y,Non-Word
Root,Blard,F,Y,Non-Word
Swan,Dylucent,F,Y,Non-Word
Word,Inganse,F,Y,Non-Word
Mirror,Stronk,U,Y,Non-Word
Stretch,Sacar,U,Y,Non-Word
Give,Pung,U,Y,Non-Word
Crackle,Miafany,U,Y,Non-Word
Vehicle,Bedger,U,Y,Non-Word
Meat,Weath,U,Y,Non-Word
Maze,Sipple,U,Y,Non-Word
Summer,Snow,M,N,Word
School,Stop,M,N,Word
Pants,Collar,M,N,Word
Reality,Island,M,N,Word
Eyes,Smell,M,N,Word
Nurse,Lawyer,M,N,Word
Soap,Drink,M,N,Word
Heavy,Feather,M,N,Word
Cactus,Plant,F,N,Word
Chop,Cut,F,N,Word
Chisel,Hammer,F,N,Word
Attire,Clothes,F,N,Word
Cherry,Red,F,N,Word
Blaze,Fire,F,N,Word
Documentary,Paper,F,N,Word
King,Vase,U,N,Word
Happy,Car,U,N,Word
Art,Wolf,U,N,Word
Strong,Accident,U,N,Word
Sugar,Riddle,U,N,Word
Push,Clutter,U,N,Word
Dietary,Sack,U,N,Word
Summer,Lemp,M,N,Non-Word
School,Bealk,M,N,Non-Word
Pants,Wact,M,N,Non-Word
Reality,Binchnay,M,N,Non-Word
Eyes,Mough,M,N,Non-Word
Nurse,Speeb,M,N,Non-Word
Soap,Heth,M,N,Non-Word
Cactus,Filber,F,N,Non-Word
Chop,Wawl,F,N,Non-Word
Chisel,Scafe,F,N,Non-Word
Attire,Muke,F,N,Non-Word
Cherry,Reet,F,N,Non-Word
Blaze,Dranb,F,N,Non-Word
Documentary,Woil,F,N,Non-Word
Incense,Hygeant,F,N,Non-Word
King,Surror,U,N,Non-Word
Happy,Strotch,U,N,Non-Word
Art,Girk,U,N,Non-Word
Strong,Spickle,U,N,Non-Word
Sugar,Vejotle,U,N,Non-Word
Push,Mout,U,N,Non-Word
Dietary,Mard,U,N,Non-Word
Bench,Chelk,U,N,Non-Word
Hygiene,Clean,F,Y,Word
